adve_time_year,industry_section,total,eligible,mapped_target,mapped_fallback,unmapped,eligible_share,mapped_target_share_of_eligible,mapped_fallback_share_of_eligible,unmapped_share_of_eligible,domain
2021,N,102,102,102,0,0,1.0,1.0,0.0,0.0,industry
2021,O,234,234,234,0,0,1.0,1.0,0.0,0.0,industry
2021,P,235,235,235,0,0,1.0,1.0,0.0,0.0,industry
2021,Q,670,670,670,0,0,1.0,1.0,0.0,0.0,industry
2021,R,24,24,24,0,0,1.0,1.0,0.0,0.0,industry
2021,S,51,51,51,0,0,1.0,1.0,0.0,0.0,industry
2021,T,1,1,0,0,1,1.0,0.0,0.0,1.0,industry
2021,U,24,24,0,0,24,1.0,0.0,0.0,1.0,industry
2022,AB,66,66,66,0,0,1.0,1.0,0.0,0.0,industry
2022,C,797,797,797,0,0,1.0,1.0,0.0,0.0,industry
2022,DE,46,46,46,0,0,1.0,1.0,0.0,0.0,industry
2022,F,181,181,181,0,0,1.0,1.0,0.0,0.0,industry
2022,G,415,415,415,0,0,1.0,1.0,0.0,0.0,industry
2022,H,95,95,95,0,0,1.0,1.0,0.0,0.0,industry
2022,I,95,95,95,0,0,1.0,1.0,0.0,0.0,industry
2022,J,288,288,288,0,0,1.0,1.0,0.0,0.0,industry
2022,K,248,248,248,0,0,1.0,1.0,0.0,0.0,industry
2022,L,40,40,40,0,0,1.0,1.0,0.0,0.0,industry
2022,M,210,210,210,0,0,1.0,1.0,0.0,0.0,industry
2022,N,126,126,126,0,0,1.0,1.0,0.0,0.0,industry
2022,O,77,77,77,0,0,1.0,1.0,0.0,0.0,industry
2022,P,172,172,172,0,0,1.0,1.0,0.0,0.0,industry
2022,Q,634,634,634,0,0,1.0,1.0,0.0,0.0,industry
2022,R,17,17,17,0,0,1.0,1.0,0.0,0.0,industry
2022,S,35,35,35,0,0,1.0,1.0,0.0,0.0,industry
2022,T,246,246,0,0,246,1.0,0.0,0.0,1.0,industry
2022,U,178,178,0,0,178,1.0,0.0,0.0,1.0,industry
2023,AB,69,69,69,0,0,1.0,1.0,0.0,0.0,industry
2023,C,727,727,727,0,0,1.0,1.0,0.0,0.0,industry
2023,DE,58,58,58,0,0,1.0,1.0,0.0,0.0,industry
2023,F,183,183,183,0,0,1.0,1.0,0.0,0.0,industry
2023,G,432,432,432,0,0,1.0,1.0,0.0,0.0,industry
2023,H,87,87,87,0,0,1.0,1.0,0.0,0.0,industry
2023,I,112,112,112,0,0,1.0,1.0,0.0,0.0,industry
2023,J,221,221,221,0,0,1.0,1.0,0.0,0.0,industry
2023,K,196,196,196,0,0,1.0,1.0,0.0,0.0,industry
2023,L,25,25,25,0,0,1.0,1.0,0.0,0.0,industry
2023,M,154,154,154,0,0,1.0,1.0,0.0,0.0,industry
2023,N,128,128,128,0,0,1.0,1.0,0.0,0.0,industry
2023,O,64,64,64,0,0,1.0,1.0,0.0,0.0,industry
2023,P,161,161,161,0,0,1.0,1.0,0.0,0.0,industry
2023,Q,582,582,582,0,0,1.0,1.0,0.0,0.0,industry
2023,R,18,18,18,0,0,1.0,1.0,0.0,0.0,industry
2023,S,30,30,30,0,0,1.0,1.0,0.0,0.0,industry
2023,T,282,282,0,0,282,1.0,0.0,0.0,1.0,industry
2023,U,183,183,0,0,183,1.0,0.0,0.0,1.0,industry
2024,AB,64,64,64,0,0,1.0,1.0,0.0,0.0,industry
2024,C,750,750,750,0,0,1.0,1.0,0.0,0.0,industry
2024,DE,70,70,70,0,0,1.0,1.0,0.0,0.0,industry
2024,F,176,176,176,0,0,1.0,1.0,0.0,0.0,industry
2024,G,401,401,401,0,0,1.0,1.0,0.0,0.0,industry
2024,H,127,127,127,0,0,1.0,1.0,0.0,0.0,industry
2024,I,134,134,134,0,0,1.0,1.0,0.0,0.0,industry
2024,J,211,211,211,0,0,1.0,1.0,0.0,0.0,industry
2024,K,229,229,229,0,0,1.0,1.0,0.0,0.0,industry
2024,L,55,55,55,0,0,1.0,1.0,0.0,0.0,industry
2024,M,139,139,139,0,0,1.0,1.0,0.0,0.0,industry
2024,N,158,158,158,0,0,1.0,1.0,0.0,0.0,industry
2024,O,55,55,55,0,0,1.0,1.0,0.0,0.0,industry
2024,P,174,174,174,0,0,1.0,1.0,0.0,0.0,industry
2024,Q,652,652,652,0,0,1.0,1.0,0.0,0.0,industry
2024,R,61,61,61,0,0,1.0,1.0,0.0,0.0,industry
2024,S,39,39,39,0,0,1.0,1.0,0.0,0.0,industry
2024,T,264,264,0,0,264,1.0,0.0,0.0,1.0,industry
2024,U,222,222,0,0,222,1.0,0.0,0.0,1.0,industry
