adve_time_year,loca_regi_kant_clean,total,eligible,mapped_target,mapped_fallback,unmapped,eligible_share,mapped_target_share_of_eligible,mapped_fallback_share_of_eligible,unmapped_share_of_eligible,domain
2017,2,485,485,448,0,37,1.0,0.9237113402061856,0.0,0.07628865979381444,occupation
2017,3,161,161,143,0,18,1.0,0.8881987577639752,0.0,0.11180124223602485,occupation
2017,4,4,4,4,0,0,1.0,1.0,0.0,0.0,occupation
2017,5,39,39,34,0,5,1.0,0.8717948717948718,0.0,0.1282051282051282,occupation
2017,6,17,17,15,0,2,1.0,0.8823529411764706,0.0,0.11764705882352941,occupation
2017,7,13,13,12,0,1,1.0,0.9230769230769231,0.0,0.07692307692307693,occupation
2017,8,27,27,24,0,3,1.0,0.8888888888888888,0.0,0.1111111111111111,occupation
2017,9,77,77,70,0,7,1.0,0.9090909090909091,0.0,0.09090909090909091,occupation
2017,10,74,74,67,0,7,1.0,0.9054054054054054,0.0,0.0945945945945946,occupation
2017,11,114,114,104,0,10,1.0,0.9122807017543859,0.0,0.08771929824561403,occupation
2017,12,177,177,167,0,10,1.0,0.943502824858757,0.0,0.05649717514124294,occupation
2017,13,76,76,70,0,6,1.0,0.9210526315789473,0.0,0.07894736842105263,occupation
2017,14,35,35,31,0,4,1.0,0.8857142857142857,0.0,0.11428571428571428,occupation
2017,15,21,21,20,0,1,1.0,0.9523809523809523,0.0,0.047619047619047616,occupation
2017,16,11,11,10,0,1,1.0,0.9090909090909091,0.0,0.09090909090909091,occupation
2017,17,290,290,255,0,35,1.0,0.8793103448275862,0.0,0.1206896551724138,occupation
2017,18,83,83,79,0,4,1.0,0.9518072289156626,0.0,0.04819277108433735,occupation
2017,19,222,222,201,0,21,1.0,0.9054054054054054,0.0,0.0945945945945946,occupation
2017,20,66,66,54,0,12,1.0,0.8181818181818182,0.0,0.18181818181818182,occupation
2017,21,75,75,65,0,10,1.0,0.8666666666666667,0.0,0.13333333333333333,occupation
2017,22,239,239,223,0,16,1.0,0.9330543933054394,0.0,0.06694560669456066,occupation
2017,23,114,114,112,0,2,1.0,0.9824561403508771,0.0,0.017543859649122806,occupation
2017,24,66,66,58,0,8,1.0,0.8787878787878788,0.0,0.12121212121212122,occupation
2017,25,148,148,138,0,10,1.0,0.9324324324324325,0.0,0.06756756756756757,occupation
2017,26,21,21,20,0,1,1.0,0.9523809523809523,0.0,0.047619047619047616,occupation
2017,,338,338,318,0,20,1.0,0.9408284023668639,0.0,0.05917159763313609,occupation
2018,1,880,880,839,0,41,1.0,0.9534090909090909,0.0,0.04659090909090909,occupation
2018,2,543,543,507,0,36,1.0,0.9337016574585635,0.0,0.06629834254143646,occupation
2018,3,166,166,149,0,17,1.0,0.8975903614457831,0.0,0.10240963855421686,occupation
2018,4,12,12,12,0,0,1.0,1.0,0.0,0.0,occupation
2018,5,43,43,41,0,2,1.0,0.9534883720930233,0.0,0.046511627906976744,occupation
2018,6,29,29,27,0,2,1.0,0.9310344827586207,0.0,0.06896551724137931,occupation
2018,7,8,8,7,0,1,1.0,0.875,0.0,0.125,occupation
2018,8,27,27,25,0,2,1.0,0.9259259259259259,0.0,0.07407407407407407,occupation
2018,9,60,60,56,0,4,1.0,0.9333333333333333,0.0,0.06666666666666667,occupation
2018,10,83,83,76,0,7,1.0,0.9156626506024096,0.0,0.08433734939759036,occupation
2018,11,144,144,138,0,6,1.0,0.9583333333333334,0.0,0.041666666666666664,occupation
2018,12,157,157,147,0,10,1.0,0.9363057324840764,0.0,0.06369426751592357,occupation
2018,13,98,98,96,0,2,1.0,0.9795918367346939,0.0,0.02040816326530612,occupation
2018,14,47,47,45,0,2,1.0,0.9574468085106383,0.0,0.0425531914893617,occupation
2018,15,14,14,14,0,0,1.0,1.0,0.0,0.0,occupation
