adve_time_year,comp_indu_noga,total,eligible,mapped_target,mapped_fallback,unmapped,eligible_share,mapped_target_share_of_eligible,mapped_fallback_share_of_eligible,unmapped_share_of_eligible,domain
2016,41,71,71,71,0,0,1.0,1.0,0.0,0.0,industry
2016,42,234,234,234,0,0,1.0,1.0,0.0,0.0,industry
2016,43,224,224,224,0,0,1.0,1.0,0.0,0.0,industry
2016,44,412,412,412,0,0,1.0,1.0,0.0,0.0,industry
2016,45,91,91,91,0,0,1.0,1.0,0.0,0.0,industry
2016,46,45,45,45,0,0,1.0,1.0,0.0,0.0,industry
2016,47,28,28,28,0,0,1.0,1.0,0.0,0.0,industry
2016,48,29,29,29,0,0,1.0,1.0,0.0,0.0,industry
2016,49,56,56,56,0,0,1.0,1.0,0.0,0.0,industry
2016,50,12,12,0,0,12,1.0,0.0,0.0,1.0,industry
2016,51,104,104,0,0,104,1.0,0.0,0.0,1.0,industry
2017,1,22,22,22,0,0,1.0,1.0,0.0,0.0,industry
2017,2,85,85,85,0,0,1.0,1.0,0.0,0.0,industry
2017,3,9,9,9,0,0,1.0,1.0,0.0,0.0,industry
2017,4,19,19,19,0,0,1.0,1.0,0.0,0.0,industry
2017,5,13,13,13,0,0,1.0,1.0,0.0,0.0,industry
2017,6,25,25,25,0,0,1.0,1.0,0.0,0.0,industry
2017,7,79,79,79,0,0,1.0,1.0,0.0,0.0,industry
2017,8,20,20,20,0,0,1.0,1.0,0.0,0.0,industry
2017,9,20,20,20,0,0,1.0,1.0,0.0,0.0,industry
2017,10,9,9,9,0,0,1.0,1.0,0.0,0.0,industry
2017,11,42,42,42,0,0,1.0,1.0,0.0,0.0,industry
2017,12,55,55,55,0,0,1.0,1.0,0.0,0.0,industry
2017,13,146,146,146,0,0,1.0,1.0,0.0,0.0,industry
2017,14,35,35,35,0,0,1.0,1.0,0.0,0.0,industry
2017,15,128,128,128,0,0,1.0,1.0,0.0,0.0,industry
2017,16,23,23,23,0,0,1.0,1.0,0.0,0.0,industry
2017,17,81,81,81,0,0,1.0,1.0,0.0,0.0,industry
2017,18,64,64,64,0,0,1.0,1.0,0.0,0.0,industry
2017,19,22,22,22,0,0,1.0,1.0,0.0,0.0,industry
2017,20,12,12,12,0,0,1.0,1.0,0.0,0.0,industry
2017,21,269,269,269,0,0,1.0,1.0,0.0,0.0,industry
2017,22,58,58,58,0,0,1.0,1.0,0.0,0.0,industry
2017,23,90,90,90,0,0,1.0,1.0,0.0,0.0,industry
2017,24,263,263,263,0,0,1.0,1.0,0.0,0.0,industry
2017,25,67,67,67,0,0,1.0,1.0,0.0,0.0,industry
2017,26,9,9,9,0,0,1.0,1.0,0.0,0.0,industry
2017,27,53,53,53,0,0,1.0,1.0,0.0,0.0,industry
2017,28,21,21,21,0,0,1.0,1.0,0.0,0.0,industry
